,Modelo,AUC-ROC,Accuracy,Recall (Sensibilidade),Specificity,Precision,F1,Threshold,MCC
0,LogisticRegression,0.88,0.78,0.82,0.78,0.29,0.43,0.5,0.40
1,RandomForest,0.87,0.87,0.32,0.93,0.33,0.32,0.5,0.25
2,CatBoost,0.88,0.88,0.29,0.94,0.35,0.32,0.5,0.25
3,LGBM,0.88,0.88,0.21,0.95,0.31,0.25,0.5,0.19
4,XGBoost,0.88,0.89,0.32,0.95,0.41,0.36,0.5,0.30
