Threshold,Treat all,Treat none,XGBoost,RandomForest,CatBoost,LightGBM,Logistic Regression
0.05,0.0513,0.0,0.0701,0.0771,0.0688,0.053,0.0679
0.1,-0.0014,0.0,0.0477,0.0567,0.0569,0.0412,0.0513
0.15,-0.0603,0.0,0.0403,0.0439,0.0432,0.029,0.0343
0.2,-0.1266,0.0,0.0275,0.029,0.0283,0.0215,0.0186
0.3,-0.2876,0.0,0.0059,0.0084,0.0102,0.0084,-0.0221
