Model,AUC-ROC,AUC 95% CI,Brier,Brier 95% CI
XGBoost,0.867,0.834-0.899,0.086,0.070-0.102
RandomForest,0.869,0.836-0.899,0.083,0.071-0.094
CatBoost,0.853,0.813-0.891,0.084,0.069-0.099
LightGBM,0.857,0.822-0.891,0.093,0.074-0.111
Logistic Regression,0.869,0.838-0.897,0.148,0.131-0.166
